venta_id,fecha,vendedor_id,cliente,producto,categoria,cantidad,precio_unitario,total_venta,zona,canal
128,2023-01-15,27,Cliente_0075,Disco Externo 1TB,Tecnología,7,313.35,2193.45,Lima Centro,Teléfono
129,2023-01-01,4,Cliente_0075,Tablet Samsung,Tecnología,5,779.02,3895.1,Lima Sur,Directo
130,2023-01-03,18,Cliente_0016,Papel A4 x500,Oficina,14,20.34,284.76,Provincias,Directo
131,2023-01-24,7,Cliente_0121,Pizarra Acrílica,Oficina,4,89.83,359.32,Lima Sur,Directo
132,2023-01-08,40,Cliente_0009,Mouse Inalámbrico,Tecnología,6,89.19,535.14,Lima Norte,Distribuidor
133,2023-01-25,44,Cliente_0115,Folder Manila x50,Oficina,8,20.61,164.88,Lima Sur,Directo
134,2023-01-22,13,Cliente_0187,"Laptop HP 15""",Tecnología,13,3120.58,40567.54,Callao,Teléfono
135,2023-01-20,38,Cliente_0198,Mouse Inalámbrico,Tecnología,3,78.53,235.59,Callao,Teléfono
136,2023-01-11,16,Cliente_0184,Escritorio Standing,Muebles,7,1144.53,8011.71,Lima Sur,Distribuidor
137,2023-01-04,26,Cliente_0159,Teléfono IP,Tecnología,8,377.01,3016.08,Lima Centro,E-commerce
138,2023-01-04,10,Cliente_0074,Tablet Samsung,Tecnología,2,755.79,1511.58,Lima Centro,Distribuidor
139,2023-01-05,20,Cliente_0042,Cartucho Tinta Negro,Oficina,12,45.34,544.08,Lima Centro,Distribuidor
140,2023-01-09,12,Cliente_0132,Silla Ergonómica,Muebles,3,952.58,2857.74,Provincias,Teléfono
141,2023-01-22,43,Cliente_0148,Webcam Logitech,Tecnología,1,176.82,176.82,Callao,Teléfono
142,2023-01-26,35,Cliente_0023,Mouse Inalámbrico,Tecnología,9,94.07,846.63,Provincias,Teléfono
143,2023-01-20,42,Cliente_0180,Silla Ergonómica,Muebles,6,912.53,5475.18,Lima Centro,Teléfono
144,2023-01-27,45,Cliente_0138,Teléfono IP,Tecnología,11,358.38,3942.18,Lima Este,E-commerce
145,2023-01-10,16,Cliente_0120,"Monitor LG 24""",Tecnología,7,585.23,4096.61,Lima Sur,Distribuidor
146,2023-01-18,36,Cliente_0025,Mouse Inalámbrico,Tecnología,12,89.21,1070.52,Lima Este,E-commerce
147,2023-01-07,30,Cliente_0148,Webcam Logitech,Tecnología,15,173.73,2605.95,Lima Norte,E-commerce
148,2023-01-01,29,Cliente_0019,Archivador Metálico,Muebles,4,368.2,1472.8,Lima Sur,E-commerce
149,2023-01-22,28,Cliente_0027,Tablet Samsung,Tecnología,9,853.6,7682.4,Lima Este,E-commerce
150,2023-01-13,36,Cliente_0165,Folder Manila x50,Oficina,3,19.46,58.38,Lima Este,E-commerce
151,2023-01-15,44,Cliente_0176,Tablet Samsung,Tecnología,10,819.87,8198.7,Lima Sur,Directo
152,2023-01-22,38,Cliente_0198,Papel A4 x500,Oficina,11,22.7,249.7,Callao,Teléfono
153,2023-01-21,43,Cliente_0084,Disco Externo 1TB,Tecnología,4,316.64,1266.56,Callao,Teléfono
154,2023-01-01,12,Cliente_0037,Teclado Mecánico,Tecnología,13,202.08,2627.04,Provincias,Teléfono
155,2023-01-16,47,Cliente_0083,Cartucho Tinta Negro,Oficina,6,47.59,285.54,Lima Este,Teléfono
156,2023-01-20,14,Cliente_0014,Headset Logitech,Tecnología,10,252.64,2526.4,Provincias,Teléfono
157,2023-01-01,32,Cliente_0087,Silla Ergonómica,Muebles,3,947.67,2843.01,Provincias,Directo
158,2023-01-11,25,Cliente_0190,Silla Ergonómica,Muebles,13,1027.53,13357.89,Callao,E-commerce
159,2023-01-13,13,Cliente_0190,Headset Logitech,Tecnología,11,229.08,2519.88,Callao,Teléfono
160,2023-01-15,44,Cliente_0164,Teclado Mecánico,Tecnología,15,202.6,3039.0,Lima Sur,Directo
161,2023-01-01,30,Cliente_0131,Tablet Samsung,Tecnología,9,740.15,6661.35,Lima Norte,E-commerce
162,2023-01-23,10,Cliente_0062,Cartucho Tinta Negro,Oficina,13,50.04,650.52,Lima Centro,Distribuidor
163,2023-01-08,21,Cliente_0152,Cartucho Tinta Negro,Oficina,2,50.5,101.0,Lima Centro,Directo
164,2023-01-21,12,Cliente_0147,"Laptop HP 15""",Tecnología,12,3022.61,36271.32,Provincias,Teléfono
165,2023-01-23,12,Cliente_0141,Impresora Epson,Oficina,6,508.77,3052.62,Provincias,Teléfono
166,2023-01-22,11,Cliente_0033,Tablet Samsung,Tecnología,8,757.18,6057.44,Lima Sur,Distribuidor
167,2023-01-22,11,Cliente_0176,Tablet Samsung,Tecnología,8,804.48,6435.84,Lima Sur,Distribuidor
168,2023-01-03,23,Cliente_0111,UPS 1000VA,Tecnología,8,425.65,3405.2,Callao,Teléfono
169,2023-01-11,35,Cliente_0195,Headset Logitech,Tecnología,1,251.64,251.64,Provincias,Teléfono
170,2023-01-01,13,Cliente_0110,Escritorio Standing,Muebles,7,1340.76,9385.32,Callao,Teléfono
171,2023-01-10,29,Cliente_0125,Archivador Metálico,Muebles,6,431.39,2588.34,Lima Sur,E-commerce
172,2023-01-04,44,Cliente_0011,Disco Externo 1TB,Tecnología,10,321.31,3213.1,Lima Sur,Directo
173,2023-01-27,31,Cliente_0178,Teléfono IP,Tecnología,3,345.53,1036.59,Lima Sur,Distribuidor
174,2023-01-10,26,Cliente_0071,Archivador Metálico,Muebles,13,393.13,5110.69,Lima Centro,E-commerce
175,2023-01-05,37,Cliente_0118,Headset Logitech,Tecnología,6,214.72,1288.32,Lima Norte,E-commerce
176,2023-01-03,19,Cliente_0032,Tablet Samsung,Tecnología,13,692.36,9000.68,Lima Sur,Directo
177,2023-01-06,39,Cliente_0068,Papel A4 x500,Oficina,8,21.5,172.0,Lima Sur,Directo
178,2023-01-06,45,Cliente_0024,Mouse Inalámbrico,Tecnología,7,91.58,641.06,Lima Este,E-commerce
179,2023-01-06,2,Cliente_0153,"Monitor LG 24""",Tecnología,12,713.98,8567.76,Lima Sur,Directo
180,2023-01-04,20,Cliente_0145,Escritorio Standing,Muebles,11,1286.61,14152.71,Lima Centro,Distribuidor
181,2023-01-22,1,Cliente_0070,Mouse Inalámbrico,Tecnología,8,77.32,618.56,Lima Centro,E-commerce
182,2023-01-13,4,Cliente_0098,Proyector Benq,Tecnología,11,2127.28,23400.08,Lima Sur,Directo
183,2023-01-03,44,Cliente_0115,Archivador Metálico,Muebles,7,357.66,2503.62,Lima Sur,Directo
184,2023-01-11,46,Cliente_0165,Mouse Inalámbrico,Tecnología,2,86.85,173.7,Lima Este,Teléfono
185,2023-01-11,25,Cliente_0054,Impresora Epson,Oficina,13,517.45,6726.85,Callao,E-commerce
186,2023-01-09,17,Cliente_0044,Tablet Samsung,Tecnología,3,852.98,2558.94,Lima Sur,E-commerce
187,2023-01-13,40,Cliente_0032,Silla Ergonómica,Muebles,6,890.3,5341.8,Lima Norte,Distribuidor
188,2023-01-10,37,Cliente_0195,Papel A4 x500,Oficina,12,23.98,287.76,Lima Norte,E-commerce
189,2023-01-27,45,Cliente_0193,Tablet Samsung,Tecnología,10,689.61,6896.1,Lima Este,E-commerce
190,2023-01-27,15,Cliente_0086,UPS 1000VA,Tecnología,9,383.5,3451.5,Lima Centro,Teléfono
191,2023-01-08,18,Cliente_0103,Teléfono IP,Tecnología,8,340.23,2721.84,Provincias,Directo
192,2023-01-15,46,Cliente_0155,Router WiFi 6,Tecnología,10,298.21,2982.1,Lima Este,Teléfono
193,2023-01-10,13,Cliente_0088,Papel A4 x500,Oficina,12,23.67,284.04,Callao,Teléfono
194,2023-01-06,8,Cliente_0065,Tablet Samsung,Tecnología,14,752.99,10541.86,Lima Centro,E-commerce
195,2023-01-02,16,Cliente_0191,Proyector Benq,Tecnología,14,1890.74,26470.36,Lima Sur,Distribuidor
196,2023-01-15,10,Cliente_0093,Teléfono IP,Tecnología,1,329.58,329.58,Lima Centro,Distribuidor
197,2023-01-21,1,Cliente_0186,"Laptop HP 15""",Tecnología,5,3127.89,15639.45,Lima Centro,E-commerce
198,2023-01-22,42,Cliente_0050,Impresora Epson,Oficina,4,461.73,1846.92,Lima Centro,Teléfono
199,2023-01-10,2,Cliente_0117,Papel A4 x500,Oficina,1,22.39,22.39,Lima Sur,Directo
200,2023-01-06,10,Cliente_0105,Tablet Samsung,Tecnología,15,690.04,10350.6,Lima Centro,Distribuidor
201,2023-01-23,11,Cliente_0167,Cartucho Tinta Negro,Oficina,15,44.64,669.6,Lima Sur,Distribuidor
202,2023-01-19,7,Cliente_0066,Folder Manila x50,Oficina,15,19.71,295.65,Lima Sur,Directo
203,2023-01-02,17,Cliente_0200,"Laptop HP 15""",Tecnología,4,2973.29,11893.16,Lima Sur,E-commerce
204,2023-01-19,18,Cliente_0198,Pizarra Acrílica,Oficina,1,105.06,105.06,Provincias,Directo
205,2023-01-26,29,Cliente_0161,Router WiFi 6,Tecnología,7,308.99,2162.93,Lima Sur,E-commerce
206,2023-01-21,25,Cliente_0135,Headset Logitech,Tecnología,11,225.64,2482.04,Callao,E-commerce
207,2023-01-03,25,Cliente_0167,Webcam Logitech,Tecnología,4,203.5,814.0,Callao,E-commerce
208,2023-01-22,10,Cliente_0092,Papel A4 x500,Oficina,5,22.24,111.2,Lima Centro,Distribuidor
209,2023-01-19,4,Cliente_0183,Pizarra Acrílica,Oficina,12,106.4,1276.8,Lima Sur,Directo
210,2023-01-23,13,Cliente_0118,Teléfono IP,Tecnología,5,381.44,1907.2,Callao,Teléfono
211,2023-01-21,19,Cliente_0195,Cartucho Tinta Negro,Oficina,5,46.61,233.05,Lima Sur,Directo
212,2023-01-22,1,Cliente_0195,Folder Manila x50,Oficina,13,17.77,231.01,Lima Centro,E-commerce
213,2023-01-21,9,Cliente_0029,Router WiFi 6,Tecnología,7,305.49,2138.43,Lima Norte,Distribuidor
214,2023-01-21,40,Cliente_0101,Headset Logitech,Tecnología,2,223.8,447.6,Lima Norte,Distribuidor
215,2023-01-01,4,Cliente_0088,Teclado Mecánico,Tecnología,12,185.89,2230.68,Lima Sur,Directo
216,2023-01-24,50,Cliente_0056,UPS 1000VA,Tecnología,6,390.97,2345.82,Lima Sur,Distribuidor
217,2023-01-15,30,Cliente_0166,Papel A4 x500,Oficina,3,21.87,65.61,Lima Norte,E-commerce
218,2023-01-22,18,Cliente_0163,"Laptop HP 15""",Tecnología,13,2927.87,38062.31,Provincias,Directo
219,2023-01-19,4,Cliente_0003,Disco Externo 1TB,Tecnología,11,279.08,3069.88,Lima Sur,Directo
220,2023-01-05,44,Cliente_0181,Silla Ergonómica,Muebles,10,938.22,9382.2,Lima Sur,Directo
221,2023-01-24,35,Cliente_0062,Mouse Inalámbrico,Tecnología,7,84.7,592.9,Provincias,Teléfono
222,2023-01-11,22,Cliente_0183,Papel A4 x500,Oficina,9,22.15,199.35,Lima Centro,E-commerce
223,2023-01-09,42,Cliente_0186,Proyector Benq,Tecnología,8,1859.01,14872.08,Lima Centro,Teléfono
224,2023-01-19,35,Cliente_0186,Proyector Benq,Tecnología,6,2097.2,12583.2,Provincias,Teléfono
225,2023-01-08,34,Cliente_0108,Escritorio Standing,Muebles,4,1246.96,4987.84,Provincias,Distribuidor
226,2023-01-03,34,Cliente_0076,Folder Manila x50,Oficina,10,17.77,177.7,Provincias,Distribuidor
227,2023-01-05,46,Cliente_0047,Folder Manila x50,Oficina,9,17.07,153.63,Lima Este,Teléfono
228,2023-01-06,32,Cliente_0035,Cartucho Tinta Negro,Oficina,5,44.36,221.8,Provincias,Directo
229,2023-01-13,12,Cliente_0036,"Laptop HP 15""",Tecnología,6,3085.24,18511.44,Provincias,Teléfono
230,2023-01-08,42,Cliente_0175,Disco Externo 1TB,Tecnología,13,287.2,3733.6,Lima Centro,Teléfono
231,2023-01-26,25,Cliente_0017,"Laptop HP 15""",Tecnología,3,3095.17,9285.51,Callao,E-commerce
232,2023-01-22,30,Cliente_0090,Router WiFi 6,Tecnología,10,292.99,2929.9,Lima Norte,E-commerce
233,2023-01-18,36,Cliente_0182,Mouse Inalámbrico,Tecnología,11,78.45,862.95,Lima Este,E-commerce
234,2023-01-15,13,Cliente_0159,UPS 1000VA,Tecnología,5,402.77,2013.85,Callao,Teléfono
235,2023-01-02,38,Cliente_0172,Headset Logitech,Tecnología,8,234.49,1875.92,Callao,Teléfono
236,2023-01-04,1,Cliente_0138,Pizarra Acrílica,Oficina,9,89.63,806.67,Lima Centro,E-commerce
237,2023-01-28,28,Cliente_0197,Webcam Logitech,Tecnología,1,195.63,195.63,Lima Este,E-commerce
238,2023-01-10,42,Cliente_0002,Webcam Logitech,Tecnología,10,206.55,2065.5,Lima Centro,Teléfono
239,2023-01-03,21,Cliente_0127,Folder Manila x50,Oficina,13,20.11,261.43,Lima Centro,Directo
240,2023-01-08,34,Cliente_0106,Tablet Samsung,Tecnología,8,731.55,5852.4,Provincias,Distribuidor
241,2023-01-10,48,Cliente_0162,Teléfono IP,Tecnología,11,358.22,3940.42,Provincias,E-commerce
242,2023-01-24,24,Cliente_0139,Disco Externo 1TB,Tecnología,4,280.57,1122.28,Lima Sur,Teléfono
243,2023-01-01,6,Cliente_0090,Disco Externo 1TB,Tecnología,10,267.73,2677.3,Lima Centro,Teléfono
